food,caloric value,carbohydrates,protein,fat,free sugar (g),fibre (g),sodium (mg),calcium (mg),iron (mg),vitamin c (mg),folate (µg)
,408.0,13.0,9.3,,,,864.0,,,,
,549.0,75.0,6.9,,,,437.0,,,,
,279.0,47.1,47.6,,,,330.0,,,,
,123.0,30.0,41.6,,,,979.0,,,,
,192.0,28.7,12.1,,,,325.0,,,,
,483.0,67.2,37.3,,,,742.0,,,,
,566.0,75.9,2.9,,,,571.0,,,,
,305.0,28.3,4.0,,,,940.0,,,,
,299.0,97.0,28.8,,,,141.0,,,,
,529.0,19.4,36.4,,,,140.0,,,,
,204.0,73.5,3.1,,,,953.0,,,,
,471.0,14.0,12.2,,,,629.0,,,,
,494.0,43.4,22.1,,,,542.0,,,,
,78.0,42.8,35.1,,,,944.0,,,,
,406.0,18.9,5.5,,,,427.0,,,,
,461.0,68.2,9.1,,,,851.0,,,,
,89.0,88.5,43.1,,,,397.0,,,,
,449.0,49.3,35.4,,,,908.0,,,,
,399.0,38.7,22.6,,,,249.0,,,,
,242.0,18.4,29.8,,,,219.0,,,,
,237.0,62.6,37.1,,,,868.0,,,,
,580.0,8.2,3.3,,,,169.0,,,,
,179.0,71.5,40.6,,,,115.0,,,,
,356.0,34.8,28.9,,,,611.0,,,,
,196.0,30.3,23.6,,,,100.0,,,,
,242.0,79.4,42.1,,,,423.0,,,,
,68.0,11.1,33.1,,,,228.0,,,,
,111.0,7.2,42.4,,,,145.0,,,,
,497.0,95.6,29.6,,,,687.0,,,,
,251.0,78.8,13.2,,,,45.0,,,,
,484.0,89.2,36.5,,,,632.0,,,,
,108.0,56.7,4.1,,,,396.0,,,,
,453.0,32.2,19.8,,,,482.0,,,,
,206.0,18.5,8.9,,,,182.0,,,,
,361.0,42.6,21.6,,,,530.0,,,,
,99.0,14.1,47.6,,,,241.0,,,,
,142.0,8.9,37.4,,,,417.0,,,,
,479.0,12.4,27.7,,,,243.0,,,,
,148.0,54.8,31.9,,,,619.0,,,,
,489.0,36.5,6.8,,,,213.0,,,,
,217.0,30.3,43.9,,,,407.0,,,,
,467.0,71.0,1.0,,,,302.0,,,,
,281.0,36.5,19.6,,,,61.0,,,,
,571.0,53.2,2.6,,,,250.0,,,,
,495.0,60.9,23.2,,,,92.0,,,,
,147.0,24.3,48.5,,,,290.0,,,,
,390.0,55.7,49.4,,,,683.0,,,,
,267.0,54.1,18.0,,,,210.0,,,,
,238.0,34.2,3.4,,,,385.0,,,,
,351.0,19.2,45.9,,,,553.0,,,,
,113.0,63.0,25.2,,,,397.0,,,,
,444.0,77.4,48.7,,,,923.0,,,,
,571.0,90.7,14.0,,,,377.0,,,,
,432.0,83.7,8.4,,,,253.0,,,,
,500.0,15.6,24.1,,,,205.0,,,,
,479.0,18.9,44.4,,,,207.0,,,,
,534.0,31.6,17.4,,,,883.0,,,,
,135.0,38.0,37.5,,,,455.0,,,,
,78.0,94.8,35.3,,,,626.0,,,,
,53.0,82.3,41.2,,,,554.0,,,,
,420.0,36.4,49.7,,,,119.0,,,,
,576.0,23.0,7.0,,,,595.0,,,,
,344.0,54.4,27.9,,,,995.0,,,,
,373.0,51.1,45.2,,,,987.0,,,,
,106.0,21.9,35.4,,,,992.0,,,,
,52.0,17.8,44.0,,,,151.0,,,,
,436.0,64.7,42.9,,,,659.0,,,,
,421.0,29.8,41.9,,,,831.0,,,,
,542.0,32.0,7.0,,,,433.0,,,,
,302.0,53.2,17.8,,,,20.0,,,,
,583.0,8.1,7.1,,,,590.0,,,,
,424.0,81.3,42.8,,,,445.0,,,,
,578.0,48.4,28.9,,,,465.0,,,,
,288.0,61.8,20.7,,,,160.0,,,,
,133.0,97.3,34.5,,,,530.0,,,,
,427.0,83.0,34.3,,,,594.0,,,,
,94.0,24.8,28.6,,,,173.0,,,,
,538.0,7.7,46.6,,,,842.0,,,,
,578.0,94.6,36.5,,,,523.0,,,,
,443.0,18.4,49.7,,,,412.0,,,,
,222.0,84.6,39.3,,,,173.0,,,,
,223.0,98.8,11.3,,,,131.0,,,,
,575.0,32.7,10.6,,,,362.0,,,,
,373.0,55.8,22.2,,,,396.0,,,,
,217.0,93.0,48.6,,,,720.0,,,,
,415.0,45.9,22.0,,,,689.0,,,,
,217.0,39.3,35.0,,,,362.0,,,,
,430.0,34.5,23.1,,,,849.0,,,,
,294.0,48.1,39.9,,,,652.0,,,,
,160.0,90.3,23.1,,,,175.0,,,,
,157.0,66.1,36.6,,,,809.0,,,,
,485.0,35.3,29.5,,,,765.0,,,,
,519.0,35.0,30.2,,,,237.0,,,,
,532.0,11.9,47.4,,,,968.0,,,,
,590.0,75.0,34.3,,,,915.0,,,,
,53.0,84.6,48.9,,,,155.0,,,,
,469.0,63.0,23.1,,,,11.0,,,,
,580.0,40.4,33.0,,,,390.0,,,,
,453.0,85.1,7.4,,,,358.0,,,,
,254.0,17.2,41.9,,,,272.0,,,,
,569.0,6.4,43.4,,,,175.0,,,,
,475.0,58.0,5.8,,,,664.0,,,,
,51.0,26.0,11.5,,,,631.0,,,,
,506.0,46.8,30.5,,,,401.0,,,,
,591.0,49.7,48.3,,,,749.0,,,,
,292.0,57.2,37.5,,,,494.0,,,,
,228.0,5.0,44.7,,,,741.0,,,,
,366.0,17.8,11.0,,,,296.0,,,,
,268.0,99.6,36.0,,,,919.0,,,,
,218.0,6.4,34.2,,,,628.0,,,,
,123.0,79.1,8.0,,,,815.0,,,,
,147.0,50.3,37.4,,,,838.0,,,,
,451.0,82.4,8.6,,,,321.0,,,,
,308.0,34.8,2.7,,,,839.0,,,,
,328.0,90.2,15.7,,,,398.0,,,,
,551.0,92.9,42.8,,,,739.0,,,,
,168.0,70.5,6.4,,,,293.0,,,,
,115.0,6.4,13.1,,,,41.0,,,,
,284.0,56.2,5.6,,,,966.0,,,,
,228.0,6.9,26.2,,,,971.0,,,,
,369.0,94.5,26.8,,,,407.0,,,,
,279.0,48.5,25.2,,,,628.0,,,,
,91.0,62.4,32.4,,,,63.0,,,,
,222.0,84.6,14.3,,,,338.0,,,,
,559.0,45.9,22.0,,,,79.0,,,,
,446.0,70.1,48.7,,,,164.0,,,,
,474.0,77.2,16.2,,,,692.0,,,,
,283.0,83.8,14.0,,,,692.0,,,,
,559.0,96.6,2.6,,,,599.0,,,,
,536.0,59.8,11.6,,,,983.0,,,,
,538.0,69.0,21.4,,,,946.0,,,,
,192.0,94.1,1.8,,,,390.0,,,,
,327.0,5.4,12.7,,,,54.0,,,,
,158.0,30.3,8.6,,,,0.0,,,,
,496.0,53.9,25.7,,,,719.0,,,,
,78.0,33.8,18.5,,,,592.0,,,,
,321.0,66.7,21.6,,,,191.0,,,,
,291.0,10.8,41.5,,,,923.0,,,,
,518.0,51.9,26.3,,,,56.0,,,,
,188.0,97.4,34.9,,,,365.0,,,,
,533.0,12.0,45.2,,,,21.0,,,,
,364.0,95.1,31.4,,,,913.0,,,,
,442.0,88.5,3.4,,,,560.0,,,,
,528.0,34.9,44.7,,,,42.0,,,,
,569.0,25.2,43.7,,,,875.0,,,,
,156.0,35.5,2.7,,,,760.0,,,,
,550.0,56.3,6.2,,,,438.0,,,,
,322.0,9.4,13.6,,,,151.0,,,,
,317.0,27.8,32.9,,,,832.0,,,,
,339.0,49.7,42.1,,,,285.0,,,,
,363.0,5.0,38.7,,,,435.0,,,,
,281.0,32.6,45.4,,,,17.0,,,,
,555.0,53.1,13.9,,,,927.0,,,,
,119.0,16.6,46.9,,,,389.0,,,,
,551.0,38.6,44.2,,,,823.0,,,,
,171.0,5.2,8.5,,,,170.0,,,,
,494.0,92.0,33.1,,,,156.0,,,,
,247.0,48.7,2.6,,,,760.0,,,,
,363.0,84.7,19.8,,,,595.0,,,,
,242.0,97.5,11.6,,,,505.0,,,,
,589.0,24.1,24.5,,,,661.0,,,,
,264.0,11.1,16.7,,,,195.0,,,,
,402.0,77.0,2.4,,,,883.0,,,,
,554.0,86.3,39.7,,,,143.0,,,,
,572.0,29.4,42.3,,,,139.0,,,,
,154.0,48.7,35.6,,,,594.0,,,,
,217.0,89.4,1.5,,,,656.0,,,,
,51.0,53.3,44.7,,,,604.0,,,,
,527.0,27.7,29.5,,,,237.0,,,,
,284.0,58.5,39.8,,,,293.0,,,,
,348.0,79.9,21.9,,,,941.0,,,,
,173.0,63.0,30.2,,,,532.0,,,,
,377.0,88.1,9.8,,,,427.0,,,,
,472.0,24.6,4.2,,,,753.0,,,,
,131.0,29.3,40.3,,,,863.0,,,,
,52.0,96.5,10.5,,,,265.0,,,,
,295.0,90.5,30.7,,,,171.0,,,,
,370.0,18.0,25.3,,,,140.0,,,,
,317.0,93.1,40.7,,,,908.0,,,,
,145.0,25.9,47.2,,,,805.0,,,,
,512.0,57.1,5.0,,,,692.0,,,,
,199.0,81.1,35.9,,,,981.0,,,,
,336.0,28.8,5.6,,,,77.0,,,,
,293.0,66.7,47.7,,,,950.0,,,,
,304.0,99.9,9.1,,,,120.0,,,,
,257.0,71.4,43.7,,,,484.0,,,,
,235.0,40.0,11.2,,,,300.0,,,,
,257.0,43.8,37.2,,,,273.0,,,,
,56.0,34.5,39.3,,,,469.0,,,,
,108.0,27.0,6.1,,,,505.0,,,,
,139.0,21.2,14.5,,,,587.0,,,,
,516.0,99.9,9.3,,,,738.0,,,,
,129.0,16.6,1.8,,,,899.0,,,,
,503.0,7.4,1.3,,,,568.0,,,,
,583.0,71.4,8.7,,,,701.0,,,,
,495.0,72.9,14.5,,,,185.0,,,,
,558.0,84.8,45.8,,,,120.0,,,,
,595.0,96.6,12.1,,,,868.0,,,,
,517.0,36.5,13.6,,,,469.0,,,,
,437.0,36.7,9.7,,,,812.0,,,,
,584.0,50.1,49.2,,,,477.0,,,,
,395.0,12.6,45.5,,,,413.0,,,,
,504.0,53.9,16.8,,,,896.0,,,,
,393.0,23.7,33.9,,,,535.0,,,,
,337.0,65.1,5.1,,,,395.0,,,,
,109.0,54.8,24.9,,,,352.0,,,,
,562.0,14.9,18.8,,,,899.0,,,,
,543.0,86.3,6.0,,,,974.0,,,,
,200.0,66.1,16.9,,,,47.0,,,,
,287.0,25.0,21.9,,,,447.0,,,,
,389.0,11.5,28.7,,,,260.0,,,,
,518.0,66.1,14.6,,,,256.0,,,,
,467.0,29.1,43.0,,,,555.0,,,,
,251.0,28.7,24.7,,,,216.0,,,,
,215.0,20.5,43.6,,,,138.0,,,,
,335.0,68.2,15.7,,,,935.0,,,,
,237.0,35.5,39.8,,,,586.0,,,,
,487.0,56.4,4.7,,,,246.0,,,,
,421.0,89.1,13.5,,,,708.0,,,,
,278.0,7.6,8.8,,,,283.0,,,,
,582.0,13.9,5.5,,,,983.0,,,,
,245.0,86.6,1.9,,,,225.0,,,,
,52.0,58.7,15.8,,,,162.0,,,,
,362.0,70.9,33.0,,,,48.0,,,,
,78.0,92.0,11.4,,,,196.0,,,,
,428.0,88.3,15.9,,,,589.0,,,,
,587.0,61.7,2.2,,,,339.0,,,,
,74.0,54.3,18.4,,,,484.0,,,,
,537.0,93.8,26.6,,,,503.0,,,,
,600.0,74.9,39.4,,,,351.0,,,,
,161.0,21.8,12.2,,,,647.0,,,,
,332.0,70.4,40.0,,,,13.0,,,,
,140.0,50.0,46.3,,,,395.0,,,,
,411.0,53.7,17.8,,,,497.0,,,,
,379.0,42.1,20.9,,,,238.0,,,,
,517.0,79.2,22.5,,,,842.0,,,,
,200.0,7.9,31.2,,,,383.0,,,,
,345.0,66.1,24.1,,,,161.0,,,,
,298.0,47.5,42.6,,,,800.0,,,,
,415.0,33.9,31.5,,,,326.0,,,,
,152.0,46.4,35.0,,,,62.0,,,,
,381.0,78.1,39.6,,,,134.0,,,,
,328.0,20.3,23.2,,,,677.0,,,,
,329.0,77.9,6.9,,,,158.0,,,,
,495.0,77.7,20.4,,,,685.0,,,,
,557.0,31.5,37.9,,,,986.0,,,,
,149.0,41.3,39.2,,,,390.0,,,,
,578.0,15.2,22.4,,,,951.0,,,,
,165.0,23.4,12.8,,,,19.0,,,,
,566.0,52.9,7.7,,,,980.0,,,,
,269.0,95.8,46.0,,,,267.0,,,,
,263.0,76.9,8.4,,,,26.0,,,,
,463.0,53.5,7.6,,,,794.0,,,,
,420.0,41.2,34.1,,,,269.0,,,,
,148.0,35.0,49.8,,,,598.0,,,,
,66.0,62.3,7.1,,,,783.0,,,,
,585.0,12.0,49.7,,,,624.0,,,,
,161.0,22.6,44.8,,,,453.0,,,,
,546.0,76.7,48.6,,,,495.0,,,,
,347.0,8.5,36.0,,,,462.0,,,,
,207.0,68.8,15.0,,,,376.0,,,,
,595.0,14.1,36.0,,,,95.0,,,,
,271.0,62.5,38.9,,,,853.0,,,,
,596.0,57.8,27.2,,,,89.0,,,,
,296.0,11.4,9.8,,,,382.0,,,,
,510.0,83.8,32.1,,,,422.0,,,,
,436.0,74.7,41.3,,,,722.0,,,,
,64.0,90.0,48.2,,,,316.0,,,,
,507.0,59.8,46.7,,,,697.0,,,,
,114.0,13.1,45.8,,,,540.0,,,,
,485.0,95.1,40.6,,,,433.0,,,,
,235.0,73.2,25.1,,,,927.0,,,,
,321.0,69.7,14.1,,,,522.0,,,,
,235.0,67.2,21.0,,,,947.0,,,,
,164.0,38.4,11.6,,,,344.0,,,,
,282.0,61.1,1.7,,,,798.0,,,,
,554.0,89.6,45.9,,,,609.0,,,,
,523.0,72.3,16.4,,,,533.0,,,,
,428.0,51.8,32.1,,,,438.0,,,,
,346.0,11.4,31.6,,,,950.0,,,,
,330.0,87.0,42.3,,,,701.0,,,,
,358.0,76.8,17.6,,,,147.0,,,,
,331.0,8.7,39.0,,,,706.0,,,,
,289.0,43.0,21.1,,,,775.0,,,,
,440.0,11.3,41.8,,,,805.0,,,,
,131.0,14.5,20.9,,,,834.0,,,,
,465.0,69.6,14.1,,,,701.0,,,,
,70.0,47.5,29.8,,,,456.0,,,,
,463.0,32.0,38.3,,,,789.0,,,,
,324.0,77.7,32.1,,,,292.0,,,,
,368.0,99.1,46.0,,,,284.0,,,,
,193.0,6.1,28.4,,,,432.0,,,,
,396.0,45.5,17.6,,,,377.0,,,,
,260.0,26.2,16.3,,,,696.0,,,,
,342.0,22.9,38.2,,,,292.0,,,,
,307.0,30.3,35.5,,,,878.0,,,,
,58.0,59.5,24.8,,,,175.0,,,,
,516.0,49.9,34.9,,,,15.0,,,,
,543.0,14.7,21.5,,,,97.0,,,,
,497.0,99.3,17.4,,,,435.0,,,,
,515.0,60.7,45.5,,,,648.0,,,,
,391.0,87.5,20.8,,,,389.0,,,,
,566.0,48.8,27.2,,,,610.0,,,,
,144.0,39.1,17.4,,,,13.0,,,,
,175.0,99.4,29.6,,,,165.0,,,,
,368.0,51.4,41.2,,,,654.0,,,,
,307.0,74.4,1.5,,,,158.0,,,,
,582.0,44.7,1.7,,,,541.0,,,,
,245.0,95.0,41.3,,,,940.0,,,,
,313.0,39.0,19.5,,,,298.0,,,,
,445.0,88.9,3.3,,,,412.0,,,,
,430.0,49.8,49.1,,,,169.0,,,,
,243.0,40.3,6.7,,,,399.0,,,,
,546.0,81.9,36.2,,,,778.0,,,,
,51.0,91.6,31.9,,,,326.0,,,,
,280.0,65.5,1.2,,,,896.0,,,,
,243.0,22.2,21.5,,,,791.0,,,,
,421.0,42.1,31.4,,,,631.0,,,,
,366.0,64.2,29.6,,,,757.0,,,,
,426.0,67.6,10.5,,,,820.0,,,,
,204.0,62.7,28.2,,,,12.0,,,,
,225.0,97.0,40.6,,,,410.0,,,,
,307.0,11.0,20.1,,,,5.0,,,,
,405.0,68.0,30.0,,,,425.0,,,,
,362.0,53.9,6.3,,,,702.0,,,,
,234.0,82.1,41.8,,,,360.0,,,,
,437.0,68.2,25.6,,,,530.0,,,,
,185.0,82.6,46.2,,,,287.0,,,,
,101.0,91.9,20.5,,,,997.0,,,,
,210.0,19.3,6.7,,,,288.0,,,,
,74.0,88.7,22.1,,,,522.0,,,,
,393.0,78.6,10.7,,,,631.0,,,,
,580.0,63.0,39.1,,,,376.0,,,,
,383.0,34.9,47.1,,,,190.0,,,,
,71.0,41.0,22.0,,,,656.0,,,,
,361.0,9.5,32.7,,,,921.0,,,,
,325.0,93.2,39.1,,,,98.0,,,,
,161.0,35.7,49.5,,,,649.0,,,,
,95.0,6.2,48.9,,,,414.0,,,,
,378.0,98.3,11.4,,,,206.0,,,,
,265.0,51.7,23.2,,,,811.0,,,,
,75.0,96.5,2.0,,,,538.0,,,,
,244.0,38.5,26.1,,,,544.0,,,,
,298.0,63.3,41.0,,,,85.0,,,,
,166.0,20.2,48.5,,,,542.0,,,,
,235.0,54.1,48.1,,,,283.0,,,,
,356.0,24.1,29.9,,,,357.0,,,,
,400.0,45.5,31.1,,,,332.0,,,,
,137.0,26.3,12.4,,,,518.0,,,,
,379.0,30.7,45.9,,,,428.0,,,,
,196.0,44.4,46.4,,,,403.0,,,,
,66.0,58.7,34.2,,,,636.0,,,,
,463.0,57.1,22.9,,,,249.0,,,,
,88.0,60.0,46.2,,,,499.0,,,,
,98.0,47.4,5.2,,,,432.0,,,,
,371.0,95.9,45.4,,,,548.0,,,,
,122.0,59.7,28.2,,,,337.0,,,,
,241.0,68.7,49.4,,,,374.0,,,,
,278.0,5.4,4.5,,,,853.0,,,,
,319.0,6.7,47.8,,,,10.0,,,,
,486.0,89.4,40.2,,,,850.0,,,,
,174.0,40.2,49.7,,,,946.0,,,,
,477.0,9.5,44.4,,,,325.0,,,,
,211.0,5.5,5.1,,,,860.0,,,,
,255.0,88.8,26.3,,,,170.0,,,,
,160.0,35.5,6.8,,,,961.0,,,,
,345.0,89.9,17.0,,,,589.0,,,,
,429.0,35.6,25.2,,,,263.0,,,,
,539.0,40.0,35.3,,,,749.0,,,,
,454.0,22.8,30.9,,,,392.0,,,,
,438.0,55.2,21.9,,,,29.0,,,,
,359.0,83.1,8.8,,,,595.0,,,,
,111.0,52.1,17.9,,,,758.0,,,,
,422.0,31.3,36.2,,,,299.0,,,,
,517.0,6.1,33.1,,,,487.0,,,,
,173.0,32.3,29.9,,,,502.0,,,,
,254.0,98.7,40.2,,,,466.0,,,,
,74.0,31.2,30.6,,,,190.0,,,,
,374.0,81.0,26.5,,,,456.0,,,,
,475.0,5.5,20.5,,,,884.0,,,,
,215.0,11.9,33.1,,,,749.0,,,,
,517.0,9.4,39.9,,,,508.0,,,,
,210.0,95.0,30.1,,,,432.0,,,,
,433.0,94.8,29.0,,,,325.0,,,,
,225.0,58.9,23.4,,,,167.0,,,,
,517.0,93.2,32.9,,,,534.0,,,,
,417.0,33.4,16.6,,,,181.0,,,,
,85.0,80.0,21.9,,,,883.0,,,,
,522.0,49.9,29.6,,,,978.0,,,,
,544.0,73.0,49.1,,,,445.0,,,,
,412.0,33.4,27.7,,,,149.0,,,,
,438.0,77.8,19.0,,,,348.0,,,,
,360.0,56.7,15.0,,,,34.0,,,,
,297.0,82.2,31.2,,,,673.0,,,,
,585.0,78.1,23.7,,,,13.0,,,,
,304.0,88.5,38.4,,,,624.0,,,,
,258.0,6.9,6.2,,,,846.0,,,,
,597.0,59.8,17.4,,,,508.0,,,,
,351.0,10.0,22.1,,,,439.0,,,,
,345.0,29.9,15.9,,,,138.0,,,,
,113.0,91.2,39.7,,,,245.0,,,,
,186.0,13.6,16.3,,,,112.0,,,,
,405.0,7.9,11.7,,,,129.0,,,,
,561.0,64.4,34.9,,,,962.0,,,,
,478.0,50.9,12.4,,,,806.0,,,,
,165.0,5.7,22.5,,,,29.0,,,,
,336.0,30.4,44.1,,,,550.0,,,,
,592.0,49.8,13.1,,,,802.0,,,,
,244.0,21.4,45.5,,,,918.0,,,,
,452.0,42.7,27.3,,,,498.0,,,,
,363.0,8.2,3.9,,,,877.0,,,,
,111.0,28.4,41.4,,,,940.0,,,,
,217.0,68.7,7.6,,,,278.0,,,,
,525.0,38.7,37.2,,,,693.0,,,,
,501.0,27.9,12.2,,,,512.0,,,,
,352.0,66.4,29.3,,,,619.0,,,,
,312.0,71.0,47.1,,,,746.0,,,,
,442.0,54.1,47.4,,,,883.0,,,,
,482.0,97.4,15.2,,,,464.0,,,,
,553.0,98.0,35.9,,,,222.0,,,,
,294.0,95.1,12.4,,,,51.0,,,,
,159.0,7.1,44.8,,,,92.0,,,,
,88.0,27.4,5.1,,,,242.0,,,,
,265.0,38.0,48.2,,,,148.0,,,,
,372.0,85.6,24.8,,,,714.0,,,,
,469.0,96.0,11.6,,,,404.0,,,,
,540.0,83.3,29.5,,,,921.0,,,,
,328.0,8.8,33.0,,,,360.0,,,,
,69.0,50.4,49.5,,,,237.0,,,,
,201.0,74.6,40.2,,,,194.0,,,,
,317.0,15.7,31.2,,,,497.0,,,,
,483.0,51.3,20.2,,,,975.0,,,,
,80.0,57.7,18.1,,,,730.0,,,,
,297.0,92.0,36.1,,,,119.0,,,,
,583.0,93.3,25.6,,,,107.0,,,,
,153.0,79.2,28.3,,,,886.0,,,,
,398.0,88.9,40.8,,,,808.0,,,,
,383.0,77.0,14.2,,,,375.0,,,,
,421.0,83.9,29.8,,,,572.0,,,,
,207.0,9.7,45.4,,,,22.0,,,,
,434.0,78.7,42.5,,,,378.0,,,,
,595.0,44.3,21.4,,,,39.0,,,,
,379.0,29.6,27.7,,,,379.0,,,,
,400.0,91.0,25.8,,,,219.0,,,,
,255.0,25.3,35.4,,,,918.0,,,,
,545.0,52.3,41.2,,,,696.0,,,,
,412.0,48.7,42.8,,,,891.0,,,,
,397.0,60.7,33.7,,,,959.0,,,,
,394.0,63.2,2.6,,,,899.0,,,,
,211.0,43.0,39.2,,,,116.0,,,,
,261.0,47.9,38.7,,,,61.0,,,,
,451.0,42.6,42.9,,,,186.0,,,,
,319.0,65.5,11.2,,,,907.0,,,,
,267.0,83.5,49.4,,,,804.0,,,,
,325.0,89.3,13.4,,,,418.0,,,,
,570.0,77.9,22.2,,,,421.0,,,,
,85.0,90.3,34.3,,,,481.0,,,,
,215.0,82.9,28.2,,,,180.0,,,,
,384.0,74.2,18.3,,,,388.0,,,,
,113.0,23.3,36.0,,,,11.0,,,,
,566.0,47.2,28.3,,,,319.0,,,,
,261.0,42.8,4.7,,,,59.0,,,,
,218.0,35.6,25.8,,,,53.0,,,,
,157.0,6.2,10.6,,,,2.0,,,,
,531.0,39.8,20.9,,,,431.0,,,,
,252.0,79.8,7.1,,,,56.0,,,,
,174.0,57.6,13.3,,,,143.0,,,,
,411.0,19.0,2.7,,,,679.0,,,,
,160.0,27.6,2.6,,,,815.0,,,,
,548.0,32.7,29.0,,,,689.0,,,,
,193.0,57.6,44.0,,,,462.0,,,,
,310.0,16.2,45.4,,,,395.0,,,,
,304.0,88.5,4.6,,,,121.0,,,,
,160.0,65.3,3.3,,,,47.0,,,,
,441.0,16.4,42.9,,,,859.0,,,,
,190.0,39.4,37.2,,,,968.0,,,,
,159.0,19.0,18.5,,,,893.0,,,,
,152.0,76.7,27.1,,,,949.0,,,,
,159.0,40.4,43.5,,,,12.0,,,,
,502.0,82.4,9.0,,,,185.0,,,,
,528.0,94.6,36.3,,,,100.0,,,,
,432.0,87.7,42.4,,,,771.0,,,,
,488.0,84.0,35.5,,,,961.0,,,,
,301.0,88.3,41.7,,,,288.0,,,,
,92.0,98.6,22.3,,,,746.0,,,,
,310.0,57.0,45.1,,,,791.0,,,,
,567.0,75.9,32.6,,,,883.0,,,,
,498.0,91.6,27.5,,,,745.0,,,,
,385.0,17.3,45.1,,,,999.0,,,,
,231.0,64.7,13.9,,,,516.0,,,,
,511.0,52.9,38.3,,,,747.0,,,,
,477.0,7.6,35.2,,,,253.0,,,,
,451.0,51.1,31.2,,,,231.0,,,,
,129.0,25.2,22.2,,,,69.0,,,,
,240.0,92.7,8.5,,,,468.0,,,,
,289.0,34.0,21.1,,,,207.0,,,,
,487.0,39.4,26.0,,,,756.0,,,,
,216.0,43.0,32.9,,,,471.0,,,,
,92.0,59.7,42.6,,,,225.0,,,,
,384.0,50.7,13.0,,,,562.0,,,,
,247.0,32.8,44.8,,,,625.0,,,,
,92.0,89.5,15.8,,,,177.0,,,,
,596.0,73.5,12.7,,,,615.0,,,,
,272.0,36.8,24.1,,,,391.0,,,,
,463.0,47.4,25.8,,,,986.0,,,,
,495.0,16.4,4.9,,,,732.0,,,,
,288.0,42.9,1.2,,,,602.0,,,,
,78.0,23.6,18.3,,,,989.0,,,,
,97.0,59.6,19.5,,,,244.0,,,,
,214.0,55.7,14.7,,,,90.0,,,,
,180.0,36.5,8.3,,,,726.0,,,,
,87.0,66.8,45.3,,,,183.0,,,,
,534.0,96.7,11.3,,,,591.0,,,,
,574.0,81.5,20.4,,,,441.0,,,,
,53.0,30.5,25.3,,,,989.0,,,,
,467.0,61.8,19.7,,,,585.0,,,,
,181.0,60.1,14.0,,,,899.0,,,,
,507.0,10.9,8.1,,,,330.0,,,,
,137.0,49.4,47.2,,,,672.0,,,,
,521.0,89.4,13.9,,,,297.0,,,,
,200.0,92.7,5.2,,,,42.0,,,,
,436.0,28.8,35.3,,,,916.0,,,,
,252.0,14.2,49.8,,,,542.0,,,,
,467.0,96.9,46.6,,,,144.0,,,,
,197.0,71.5,43.5,,,,495.0,,,,
,548.0,26.6,17.9,,,,608.0,,,,
,76.0,47.8,47.2,,,,664.0,,,,
,371.0,79.7,39.2,,,,129.0,,,,
,525.0,48.8,21.8,,,,483.0,,,,
,528.0,52.5,39.0,,,,328.0,,,,
,166.0,97.0,9.9,,,,567.0,,,,
,519.0,55.7,26.7,,,,831.0,,,,
,120.0,67.7,11.7,,,,524.0,,,,
,195.0,86.1,3.3,,,,617.0,,,,
,67.0,69.0,11.2,,,,406.0,,,,
,320.0,36.1,23.5,,,,919.0,,,,
,94.0,85.1,24.3,,,,291.0,,,,
,438.0,57.1,29.9,,,,621.0,,,,
,526.0,50.5,28.3,,,,471.0,,,,
,512.0,52.8,12.5,,,,662.0,,,,
,130.0,50.4,29.6,,,,457.0,,,,
,159.0,37.2,42.7,,,,157.0,,,,
,275.0,45.6,40.1,,,,301.0,,,,
,451.0,87.9,30.7,,,,430.0,,,,
,64.0,17.8,48.1,,,,359.0,,,,
,590.0,74.2,39.5,,,,173.0,,,,
,157.0,15.5,32.6,,,,378.0,,,,
,159.0,96.2,36.6,,,,438.0,,,,
,522.0,65.6,47.4,,,,328.0,,,,
,464.0,9.5,4.5,,,,80.0,,,,
,111.0,85.1,15.2,,,,520.0,,,,
,459.0,12.2,15.7,,,,831.0,,,,
,459.0,13.5,25.5,,,,838.0,,,,
,378.0,50.2,25.3,,,,352.0,,,,
,479.0,37.8,2.9,,,,980.0,,,,
,97.0,25.1,35.8,,,,356.0,,,,
,117.0,13.6,4.1,,,,639.0,,,,
,345.0,29.1,28.8,,,,857.0,,,,
,542.0,40.1,22.3,,,,688.0,,,,
,100.0,85.3,21.0,,,,383.0,,,,
,132.0,56.7,44.4,,,,60.0,,,,
,123.0,94.0,38.5,,,,697.0,,,,
,481.0,50.1,3.5,,,,822.0,,,,
,359.0,88.7,22.2,,,,518.0,,,,
,283.0,66.6,49.6,,,,202.0,,,,
,79.0,72.2,32.8,,,,56.0,,,,
,74.0,50.9,35.0,,,,361.0,,,,
,396.0,70.0,29.2,,,,557.0,,,,
,69.0,58.2,48.3,,,,968.0,,,,
,532.0,37.7,18.7,,,,957.0,,,,
,259.0,55.1,31.7,,,,417.0,,,,
,552.0,62.3,2.1,,,,645.0,,,,
,351.0,43.8,35.7,,,,72.0,,,,
,568.0,52.6,6.4,,,,921.0,,,,
,65.0,84.8,27.4,,,,819.0,,,,
,294.0,56.9,3.2,,,,983.0,,,,
,338.0,38.4,5.2,,,,22.0,,,,
,261.0,31.8,11.6,,,,850.0,,,,
,550.0,82.4,29.8,,,,425.0,,,,
,569.0,41.5,17.6,,,,344.0,,,,
